dteday,season,hr,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
2011-01-01,Winter,0,0,1,3,3,81,0,3,13
2011-01-01,Winter,1,0,1,2,1,80,0,8,32
2011-01-01,Winter,2,0,1,2,1,80,0,5,27
2011-01-01,Winter,3,0,1,3,3,75,0,3,10
2011-01-01,Winter,4,0,1,3,3,75,0,0,1
2011-01-01,Winter,5,0,2,3,1,75,6,0,1
2011-01-01,Winter,6,0,1,2,1,80,0,2,0
2011-01-01,Winter,7,0,1,1,1,86,0,1,2
2011-01-01,Winter,8,0,1,3,3,75,0,1,7
2011-01-01,Winter,9,0,1,7,7,76,0,8,6
2011-01-01,Winter,10,0,1,9,9,76,16,12,24
2011-01-01,Winter,11,0,1,8,5,81,19,26,30
2011-01-01,Winter,12,0,1,11,11,77,19,29,55
2011-01-01,Winter,13,0,2,13,13,72,19,47,47
2011-01-01,Winter,14,0,2,13,13,72,19,35,71
2011-01-01,Winter,15,0,2,12,13,77,19,40,70
2011-01-01,Winter,16,0,2,11,11,82,19,41,52
2011-01-01,Winter,17,0,2,12,13,82,19,15,52
2011-01-01,Winter,18,0,3,11,11,88,16,9,26
2011-01-01,Winter,19,0,3,11,11,88,16,6,31
2011-01-01,Winter,20,0,2,10,11,87,16,11,25
2011-01-01,Winter,21,0,2,10,11,87,12,3,31
2011-01-01,Winter,22,0,2,10,11,94,15,11,17
2011-01-01,Winter,23,0,2,13,13,88,19,15,24
2011-01-02,Winter,0,0,2,13,13,88,19,4,13
2011-01-02,Winter,1,0,2,12,13,94,16,1,16
2011-01-02,Winter,2,0,2,11,11,100,19,1,8
2011-01-02,Winter,3,0,2,13,13,94,12,2,4
2011-01-02,Winter,4,0,2,13,13,94,12,2,1
2011-01-02,Winter,6,0,3,11,11,77,19,0,2
2011-01-02,Winter,7,0,2,10,11,76,12,0,1
2011-01-02,Winter,8,0,3,10,11,71,15,0,8
2011-01-02,Winter,9,0,2,9,9,76,15,1,19
2011-01-02,Winter,10,0,2,8,7,81,15,7,46
2011-01-02,Winter,11,0,2,8,5,71,16,16,54
2011-01-02,Winter,12,0,2,8,5,66,19,20,73
2011-01-02,Winter,13,0,2,8,7,66,8,11,64
2011-01-02,Winter,14,0,3,8,7,76,12,4,55
2011-01-02,Winter,15,0,3,7,5,81,11,19,55
2011-01-02,Winter,16,0,3,7,5,71,11,9,67
2011-01-02,Winter,17,0,1,7,5,56,12,7,58
2011-01-02,Winter,18,0,2,8,5,46,22,10,43
2011-01-02,Winter,19,0,1,7,3,42,30,1,29
2011-01-02,Winter,20,0,1,6,1,39,23,5,17
2011-01-02,Winter,21,0,1,4,0,44,22,11,20
2011-01-02,Winter,22,0,1,3,-2,44,19,0,9
2011-01-02,Winter,23,0,1,2,0,47,11,0,8
2011-01-03,Winter,0,1,1,2,-2,44,23,0,5
2011-01-03,Winter,1,1,1,1,-4,44,27,0,2
2011-01-03,Winter,4,1,1,0,-6,47,26,0,1
2011-01-03,Winter,5,1,1,0,-6,47,19,0,3
2011-01-03,Winter,6,1,1,-1,-8,50,26,0,30
